Type,Square,Floor,Metro,Price
1.0,36.74,11,0.0,5246509.0
3.0,78.0,12,0.0,10530711.0
1.0,36.74,17,0.0,5239490.0
1.0,39.34,10,0.0,5534317.0
2.0,59.08,9,0.0,8215318.0
1.0,36.74,14,0.0,5239490.0
2.0,60.09,17,0.0,8291822.0
2.0,59.08,15,0.0,8215318.0
1.0,38.35,15,0.0,5436522.0
1.0,40.3,12,0.0,5811630.0
1.0,36.95,4,0.0,5274630.0
1.0,37.37,4,0.0,5357032.0
2.0,60.96,9,0.0,8344827.0
1.0,39.34,5,0.0,5534317.0
2.0,61.09,9,0.0,8344827.0
2.0,56.96,11,0.0,7953242.0
1.0,39.84,8,0.0,5584690.0
1.0,37.14,14,0.0,5304298.0
1.0,37.5,12,0.0,5357032.0
1.0,37.24,6,0.0,5287122.0
1.0,37.24,12,0.0,5287122.0
2.0,57.07,12,0.0,7966589.0
1.0,39.34,12,0.0,5534317.0
1.0,38.35,8,0.0,5436522.0
1.0,36.95,16,0.0,5274630.0
1.0,37.5,9,0.0,5357032.0
2.0,57.07,4,0.0,7966589.0
2.0,56.96,14,0.0,7953242.0
1.0,36.95,8,0.0,5274630.0
1.0,36.95,13,0.0,5274630.0
1.0,37.37,13,0.0,5371441.0
1.0,37.5,12,0.0,5372882.0
1.0,37.37,5,0.0,5385850.0
1.0,37.37,13,0.0,5385850.0
,77.66,8,0.0,
1.0,37.37,13,0.0,5357032.0
2.0,61.09,9,0.0,8344827.0
1.0,37.24,14,0.0,5287122.0
2.0,60.09,14,0.0,8291822.0
2.0,61.09,5,0.0,8344827.0
1.0,38.35,4,0.0,5436522.0
1.0,36.74,9,0.0,5239490.0
1.0,37.24,17,0.0,5287122.0
1.0,36.95,15,0.0,5274630.0
1.0,37.24,14,0.0,5287122.0
1.0,39.34,13,0.0,5534317.0
1.0,37.24,9,0.0,5287122.0
2.0,60.09,16,0.0,8291822.0
1.0,37.14,11,0.0,5304298.0
1.0,36.95,10,0.0,5274630.0
2.0,60.51,8,0.0,8317476.0
1.0,36.95,4,0.0,5281705.0
2.0,60.09,4,0.0,8291822.0
1.0,36.95,9,0.0,5274630.0
1.0,37.5,10,0.0,5357032.0
1.0,39.34,14,0.0,5534317.0
1.0,37.5,6,0.0,5357032.0
2.0,60.96,12,0.0,8344827.0
2.0,60.96,3,0.0,8344827.0
3.0,77.66,8,0.0,10451400.0
3.0,77.66,3,0.0,10451400.0
2.0,57.07,9,0.0,7966589.0
2.0,60.96,3,0.0,8344827.0
1.0,36.95,9,0.0,5274630.0
2.0,60.09,10,0.0,8291822.0
2.0,57.07,9,0.0,7977832.0
1.0,37.5,3,0.0,5501740.0
1.0,36.95,17,0.0,5274630.0
2.0,57.07,10,0.0,7966589.0
2.0,60.51,11,0.0,8317476.0
1.0,37.37,7,0.0,5385850.0
2.0,60.96,9,0.0,8344827.0
1.0,39.84,9,0.0,5584690.0
1.0,38.35,13,0.0,5436522.0
3.0,78.0,9,0.0,10499827.0
1.0,36.95,11,0.0,5274630.0
1.0,38.35,17,0.0,5436522.0
1.0,39.84,11,0.0,5584690.0
1.0,39.34,16,0.0,5534317.0
1.0,37.24,9,0.0,5287122.0
1.0,37.49,17,0.0,5335230.0
2.0,60.51,12,0.0,8317476.0
1.0,37.24,16,0.0,5287122.0
1.0,37.37,8,0.0,5357032.0
,37.24,15,0.0,5287122.0
1.0,37.5,3,0.0,5357032.0
1.0,39.84,13,0.0,5584690.0
2.0,60.96,8,0.0,8344827.0
1.0,37.5,4,0.0,5372882.0
1.0,37.5,3,0.0,5357032.0
1.0,37.49,15,0.0,5335230.0
2.0,56.96,12,0.0,7953242.0
1.0,37.49,12,0.0,5335230.0
3.0,77.66,3,0.0,10451400.0
1.0,39.34,11,0.0,5534317.0
1.0,36.95,4,0.0,5274630.0
1.0,36.95,10,0.0,5274630.0
2.0,59.08,17,0.0,8285835.0
3.0,78.0,11,0.0,10499827.0
1.0,37.5,9,0.0,5357032.0
1.0,37.5,6,0.0,5357032.0
1.0,37.5,4,0.0,5357032.0
2.0,60.42,3,0.0,8290367.0
1.0,36.74,15,0.0,5246509.0
2.0,57.07,13,0.0,7966589.0
1.0,39.84,4,0.0,5584690.0
1.0,39.84,12,0.0,5584690.0
2.0,59.08,6,0.0,8191813.0
1.0,37.5,13,0.0,5357032.0
1.0,37.5,9,0.0,5357032.0
2.0,56.96,8,0.0,7953242.0
1.0,37.5,3,0.0,5372882.0
1.0,36.74,17,0.0,5239490.0
1.0,37.37,11,0.0,5357032.0
1.0,36.95,9,0.0,5274630.0
1.0,37.5,7,0.0,5357032.0
1.0,36.95,17,0.0,5281705.0
1.0,38.35,13,0.0,5451300.0
1.0,38.35,12,0.0,5436522.0
3.0,78.0,5,0.0,10499827.0
1.0,36.74,8,0.0,5232470.0
1.0,37.5,9,0.0,5357032.0
1.0,36.95,8,0.0,5274630.0
1.0,37.24,6,0.0,5287122.0
3.0,78.0,9,0.0,10530711.0
1.0,36.74,12,0.0,5239490.0
2.0,59.08,15,0.0,8191813.0
1.0,39.84,13,0.0,5584690.0
2.0,60.09,11,0.0,8291822.0
1.0,36.95,14,0.0,5274630.0
1.0,39.34,9,0.0,5534317.0
1.0,37.5,6,0.0,5357032.0
1.0,37.5,4,0.0,5357032.0
2.0,60.09,13,0.0,8291822.0
,,12,0.0,5246509.0
1.0,37.24,12,0.0,5287122.0
3.0,78.0,3,0.0,10530711.0
2.0,60.42,11,0.0,8290367.0
3.0,77.66,5,0.0,10451400.0
1.0,37.5,11,0.0,5380041.0
1.0,36.95,14,0.0,5274630.0
2.0,61.09,12,0.0,8344827.0
2.0,57.07,12,0.0,7977832.0
1.0,36.74,15,0.0,5232470.0
1.0,36.95,15,0.0,5274630.0
1.0,39.34,6,0.0,5534317.0
1.0,36.95,6,0.0,5274630.0
1.0,39.34,6,0.0,5534317.0
1.0,37.49,8,0.0,5335230.0
1.0,38.35,10,0.0,5451300.0
1.0,39.84,14,0.0,5584690.0
1.0,37.5,12,0.0,5357032.0
1.0,37.49,9,0.0,5335230.0
1.0,36.74,8,0.0,5246509.0
1.0,37.49,8,0.0,5335230.0
1.0,37.37,11,0.0,5371441.0
1.0,36.95,14,0.0,5274630.0
1.0,36.95,10,0.0,5274630.0
1.0,37.5,13,0.0,5380041.0
2.0,60.42,6,0.0,8290367.0
2.0,59.08,10,0.0,8191813.0
1.0,39.34,15,0.0,5534317.0
1.0,36.74,9,0.0,5239490.0
3.0,77.66,12,0.0,10451400.0
1.0,37.14,8,0.0,5304298.0
1.0,39.84,6,0.0,5584690.0
1.0,37.49,12,0.0,5335230.0
1.0,37.37,10,0.0,5371441.0
1.0,36.95,8,0.0,5274630.0
1.0,36.95,14,0.0,5274630.0
1.0,37.49,5,0.0,5335230.0
1.0,37.24,4,0.0,5287122.0
1.0,39.84,17,0.0,5584690.0
1.0,37.14,12,0.0,5304298.0
2.0,57.07,4,0.0,7977832.0
1.0,39.84,13,0.0,5584690.0
1.0,39.34,15,0.0,5534317.0
2.0,60.96,12,0.0,8344827.0
2.0,59.08,13,0.0,8215318.0
2.0,57.07,10,0.0,7977832.0
1.0,37.24,8,0.0,5287122.0
1.0,36.74,8,0.0,5239490.0
1.0,37.5,10,0.0,5357032.0
1.0,40.3,8,0.0,5811630.0
,37.24,7,,
1.0,39.34,12,0.0,5534317.0
2.0,60.09,4,0.0,8291822.0
1.0,37.37,4,0.0,5357032.0
1.0,36.74,15,0.0,5239490.0
2.0,56.96,9,0.0,7953242.0
3.0,77.66,9,0.0,10451400.0
1.0,36.95,11,0.0,5281705.0
1.0,36.95,10,0.0,5281705.0
2.0,60.09,8,0.0,8291822.0
1.0,37.5,3,0.0,5357032.0
1.0,39.34,6,0.0,5534317.0
1.0,36.95,16,0.0,5281705.0
2.0,60.96,6,0.0,8344827.0
1.0,37.5,13,0.0,5357032.0
1.0,39.84,15,0.0,5584690.0
