Type,Square,Floor,Metro,Price
1,36.54,1,0,5172388
1,34.29,2,0,5064268
1,34.1,2,0,5043005
2,57.65,2,0,7888272
2,57.04,1,0,7709061
1,34.72,2,0,5142810
1,34.29,3,0,5064268
1,38.81,11,0,5611908
1,34.1,1,0,4936869
1,34.18,3,0,5047862
3,78.98,10,0,10585248
1,36.97,2,0,5325900
2,58.18,2,0,7937567
1,34.72,1,0,5013131
1,33.83,2,0,5002680
2,57.04,1,0,7638046
3,81.36,12,0,10769854
3,74.42,2,0,10009771
1,34.12,1,0,4939794
2,56.64,3,0,7818838
1,37.38,2,0,5393276
1,36.18,8,0,5283030
1,34.18,2,0,5047862
1,36.97,3,0,5325900
1,34.1,2,0,5035930
1,34.1,2,0,5035930
1,36.97,2,0,5325900
1,36.68,2,0,5413119
1,34.72,2,0,5128401
1,36.18,15,0,5283030
2,58.18,2,0,7937567
1,37.39,3,0,5549900
2,57.64,2,0,7886887
1,34.18,3,0,5047862
2,57.12,2,0,7850390
0,29.37,5,1,6304900
3,89.88,11,1,29220740
1,38.11,8,1,7225517
3,79.83,4,0,9509340
2,50.1,15,1,10235755
2,60.86,14,1,12869958
0,26.05,1,0,4207221
0,26.05,1,0,4099114
0,26.05,1,0,4099114
0,24.53,1,0,3867196
0,24.53,1,0,3867196
0,24.53,1,0,3867196
3,79.83,2,0,9509340
1,36.57,10,0,5335518
2,56.1,16,0,7887295
2,57.58,9,0,8006478
1,36.19,10,0,5284621
1,36.92,12,0,5373690
1,36.18,13,0,5283030
1,36.65,13,0,5328839
1,36.35,7,0,5317818
1,36.18,10,0,5283030
1,36.68,13,0,5353013
1,36.57,9,0,5342544
1,36.68,10,0,5353013
2,65.05,12,0,8664673
2,65.05,9,0,8664673
1,36.92,9,0,5373690
1,36.19,13,0,5284621
1,36.18,7,0,5283030
2,56.1,13,0,7876225
2,56.1,13,0,7887295
1,36.57,7,0,5335518
1,36.19,7,0,5284621
2,56.33,7,0,7910612
1,36.57,12,0,5342544
2,57.58,12,0,8006478
1,36.65,10,0,5314841
1,36.4,11,0,5308479
0,22.6,5,1,5007710
2,65.05,6,0,8664673
1,36.57,13,0,5335518
1,36.57,16,0,5335518
1,36.35,10,0,5345648
1,36.4,6,0,5322460
1,36.65,7,0,5328839
1,39.29,12,0,5669879
2,59.93,17,0,8273794
1,39.29,11,0,5662268
1,37.8,17,0,5510548
1,35.62,8,0,5241420
1,39.29,5,0,5662268
1,39.29,8,0,5662268
1,40.91,15,0,5850977
1,37.8,12,0,5517850
1,38.81,8,0,5611908
1,38.81,17,0,5611908
1,38.81,15,0,5611908
1,39.29,14,0,5662268
1,39.29,15,0,5669879
2,59.93,11,0,8273794
2,59.93,16,0,8273794
1,39.29,17,0,5662268
1,39.29,14,0,5662268
1,38.81,12,0,5611908
1,38.81,14,0,5611908
1,38.81,5,0,5611908
1,37.8,15,0,5495944
1,40.91,12,0,5850977
1,38.81,7,0,5611908
1,39.29,17,0,5662268
2,54.77,13,0,7851502
1,39.29,11,0,5662268
3,78.91,4,0,10769854
1,39.29,8,0,5662268
2,59.93,14,0,8273794
1,39.29,5,0,5662268
3,81.36,13,0,10769854
1,37.8,16,0,5517850
1,39.29,17,0,5662268
1,35.62,14,0,5241420
1,39.29,11,0,5662268
1,37.8,12,0,5495944
1,39.29,14,0,5662268
2,60.5,2,1,9925410
1,36.65,12,0,5328839
1,39.29,13,0,5662268
1,38.81,14,0,5611908
1,36.57,11,0,5342544
2,65.05,11,0,8664673
1,36.65,9,0,5328839
1,36.19,12,0,5284621
1,36.57,16,0,5342544
1,36.18,12,0,5283030
1,38.81,15,0,5611908
1,36.92,10,0,5373690
1,36.68,14,0,5353013
1,38.81,6,0,5611908
1,39.29,15,0,5662268
1,36.35,17,0,5317818
1,36.57,17,0,5342544
1,36.18,14,0,5283030
1,36.4,14,0,5322460
1,39.29,13,0,5662268
2,57.58,13,0,8006478
2,65.05,8,0,8664673
1,36.92,14,0,5373690
2,56.1,14,0,7876225
1,36.65,17,0,5328839
1,36.18,14,0,5283030
1,36.4,13,0,5322460
1,39.29,6,0,5662268
1,36.18,9,0,5283030
1,36.65,11,0,5328839
1,36.18,11,0,5283030
1,37.95,17,0,5453135
1,39.29,10,0,5662268
1,36.18,9,0,5283030
1,36.18,17,0,5283030
1,39.29,15,0,5662268
1,38.81,17,0,5611908
1,36.92,11,0,5373690
1,36.57,13,0,5342544
2,54.77,17,0,7851502
1,39.29,16,0,5662268
2,56.1,11,0,7887295
1,36.57,14,0,5342544
1,36.92,8,0,5373690
2,57.58,10,0,8006478
2,57.58,16,0,8006478
1,38.81,9,0,5611908
2,54.77,14,0,7851502
1,36.65,14,0,5328839
1,38.81,16,0,5611908
1,39.29,8,0,5669879
1,37.8,11,0,5495944
1,36.68,11,0,5353013
1,36.65,14,0,5314841
1,36.68,15,0,5353013
2,56.33,8,0,7910612
1,37.8,11,0,5517850
1,36.65,17,0,5314841
1,36.18,8,0,5283030
2,59.93,15,0,8273794
1,39.29,9,0,5662268
2,65.05,13,0,8664673
1,36.35,15,0,5296945
1,36.68,12,0,5353013
2,57.58,14,0,8006478
1,36.4,10,0,5322460
1,39.29,16,0,5662268
1,36.68,8,0,5353013
1,38.81,10,0,5611908
1,36.18,14,0,5283030
2,59.93,13,0,8273794
1,37.8,17,0,5495944
1,37.8,14,0,6199744
2,65.05,14,0,8664673
1,36.92,16,0,5373690
2,58.75,10,0,8109972
1,36.4,13,0,5308479
1,39.29,12,0,5662268
1,36.68,5,0,5353013
1,37.8,17,0,5517850
1,36.57,11,0,5335518
1,37.95,11,0,5453135
2,56.1,12,0,7876225
1,38.81,10,0,5611908
1,37.95,13,0,5453135
1,36.68,9,0,5353013
1,37.8,14,0,5517850
1,36.35,14,0,5296945
1,36.18,9,0,5283030
2,57.58,8,0,8006478
2,56.1,15,0,7876225
1,38.81,7,0,5611908
1,36.4,10,0,5308479
1,36.92,17,0,5373690
2,56.1,15,0,7887295
1,39.29,9,0,5662268
1,36.18,11,0,5283030
1,36.65,8,0,5328839
1,36.4,11,0,5322460
3,78.91,3,0,10769854
1,39.29,13,0,5662268
1,36.19,14,0,5284621
1,36.19,15,0,5284621
1,40.91,16,0,5850977
1,36.19,11,0,5284621
1,36.19,9,0,5284621
2,56.33,14,0,7910612
1,39.29,12,0,5662268
1,36.18,15,0,5283030
1,36.57,10,0,5342544
1,38.81,16,0,5611908
1,39.29,15,0,5662268
1,35.62,16,0,5241420
2,58.75,9,0,8109972
1,36.35,14,0,5331733
1,36.68,17,0,5353013
1,36.19,17,0,5284621
1,39.29,16,0,5662268
1,36.35,17,0,5331733
1,39.29,11,0,5669879
1,36.18,12,0,5283030
1,40.91,14,0,5850977
1,37.95,8,0,5453135
1,38.81,12,0,5611908
1,36.57,14,0,5335518
1,39.29,14,0,5669879
1,39.29,10,0,5662268
1,40.91,17,0,5850977
1,37.8,13,0,5510548
1,39.29,7,0,5662268
0,29.56,12,1,6478951
2,57.65,11,1,19673128
2,47.0,13,1,8131110
3,57.9,10,1,10015998
